#Scenario=V1.0
#width=32
StandardWall,Web,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,Web,StandardWall
StandardWall,KingCobra,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,KingCobra,StandardWall
StandardWall,Horse,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,Horse,StandardWall
StandardWall,Orc,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,Orc,StandardWall
StandardWall,Goblin,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,Goblin,StandardWall
MagicCastle,Spider,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,Spider,MagicCastle
StandardWall,Pool,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,Pool,StandardWall
StandardWall,Skeleton,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,Skeleton,StandardWall
StandardWall,DireWolf,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,DireWolf,StandardWall
StandardWall,,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,StandardWall,,StandardWall
